        rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-43.2671623230 52.4605674744 -71.4858093262 97.8673782349 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-43.5962905884 52.1691780090 -71.5239715576 97.9088668823 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-43.8834724426 52.0009689331 -74.4266662598 98.8526000977 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-44.2392959595 51.6295051575 -74.4375000000 98.8781814575 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-44.6198501587 51.3935165405 -74.4462890625 98.9006729126 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-44.9803237915 51.0929336548 -74.4492340088 98.9195709229 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-45.4337844849 50.8624076843 -74.4581451416 98.9355010986 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-45.7531814575 50.6516532898 -74.4776840210 98.9751968384 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-46.0515937805 50.3738670349 -74.4980545044 99.0014038086 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-46.5134544373 50.1245040894 -74.5207595825 99.0418777466 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-46.8386840820 49.9397697449 -74.5555953979 99.0941162109 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-47.1190795898 49.5734596252 -74.5869064331 99.1450729370 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-47.4950866699 49.2639465332 -77.0896072388 99.9971618652 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-47.8023185730 48.9168281555 -77.0932846069 100.0216751099 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-48.1112518311 48.6720962524 -77.1180801392 100.0673522949 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-48.4457626343 48.3371353149 -77.1311187744 100.1045913696 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-48.7340469360 48.2174835205 -77.1434860229 100.1438140869 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-49.0480003357 47.7604866028 -77.1597137451 100.1717987061 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-49.3150367737 47.5762252808 -77.1804046631 100.2144165039 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-49.6566658020 47.2568702698 -77.2003402710 100.2487258911 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-49.9019126892 47.0808639526 -77.2229766846 100.2906951904 0.0000000000 0.0000000000 0.0000000000 0.0000000000
