     velsurf   thk_positive       thk_regu           glen
9313618.0000         0.0000   9999999.0000         0.0143
9307177.0000         0.0000   9999999.0000         0.0143
9299956.0000         0.0000   9999999.0000         0.0143
9292920.0000         0.0000   9999999.0000         0.0143
9286142.0000         0.0000   9999999.0000         0.0143
9281270.0000         0.0000   9999999.0000         0.0143
9274656.0000         0.0000   9999999.0000         0.0143
9270565.0000         0.0000   9999999.0000         0.0143
9263971.0000         0.0000   9999999.0000         0.0143
9259094.0000         0.0000   9999999.0000        -0.0139
9223256.0000         0.0000   9999999.0000        -0.0139
9219695.0000         0.0000   9999999.0000        -0.0139
9215407.0000         0.0000   9999999.0000        -0.0139
9211704.0000         0.0000   9999999.0000        -0.0139
9206952.0000         0.0000   9999999.0000        -0.0139
9203442.0000         0.0000   9999999.0000        -0.0139
9198520.0000         0.0000   9999999.0000        -0.0139
9195606.0000         0.0000   9999999.0000        -0.0139
9189951.0000         0.0000   9999999.0000        -0.0139
9187269.0000         0.0000   9999999.0000        -0.0310
9159753.0000         0.0000   9999999.0000        -0.0310
9156682.0000         0.0000   9999999.0000        -0.0310
9154051.0000         0.0000   9999999.0000        -0.0310
9152617.0000         0.0000   9999999.0000        -0.0310
9148854.0000         0.0000   9999999.0000        -0.0310
9147071.0000         0.0000   9999999.0000        -0.0310
9144751.0000         0.0000   9999999.0000        -0.0310
9143277.0000         0.0000   9999999.0000        -0.0310
9141663.0000         0.0000   9999999.0000        -0.0310
9140612.0000         0.0000   9999999.0000        -0.0397
9118163.0000         0.0000   9999999.0000        -0.0397
9118646.0000         0.0000   9999999.0000        -0.0397
9118353.0000         0.0000   9999999.0000        -0.0397
9118192.0000         0.0000   9999999.0000        -0.0397
9117884.0000         0.0000   9999999.0000        -0.0397
9117525.0000         0.0000   9999999.0000        -0.0397
9117398.0000         0.0000   9999999.0000        -0.0397
9117119.0000         0.0000   9999999.0000        -0.0397
9116797.0000         0.0000   9999999.0000        -0.0397
